"table","column"
"orders_~_discount_codes-consolidated","_sub_id     [pk]"
"orders_~_discount_codes-consolidated","amount"
"orders_~_discount_codes-consolidated","code"
"orders_~_discount_codes-consolidated","type"
"orders_~_discount_codes-consolidated","Consolidated order ID"
"order_refunds_~_refund_line_items-hg","id"
"order_refunds_~_refund_line_items-hg","line_item_id"
"order_refunds_~_refund_line_items-hg","line_item_~_id"
"order_refunds_~_refund_line_items-hg","line_item_~_quantity"
"order_refunds_~_refund_line_items-hg","line_item_~_price"
"order_refunds_~_refund_line_items-hg","_id_of_parent"
"order_refunds_~_refund_line_items-hg","_sub_id"
"order_refunds_~_refund_line_items-hg","line_item_~_vendor"
"order_refunds_~_refund_line_items-hg","line_item_~_variant_id"
"order_refunds_~_refund_line_items-hg","line_item_~_product_id"
"order_refunds_~_refund_line_items-hg","line_item_~_variant_title"
"order_refunds_~_refund_line_items-hg","line_item_~_title"
"order_refunds_~_refund_line_items-hg","line_item_~_sku"
"order_refunds_~_refund_line_items-consolidated","Source table name"
"order_refunds_~_refund_line_items-consolidated","Source Table Index"
"order_refunds_~_refund_line_items-consolidated","_id_of_parent     [pk]"
"order_refunds_~_refund_line_items-consolidated","_sub_id     [pk]"
"order_refunds_~_refund_line_items-consolidated","line_item_~_id"
"order_refunds_~_refund_line_items-consolidated","line_item_~_quantity"
"order_refunds_~_refund_line_items-consolidated","line_item_~_price"
"order_refunds_~_refund_line_items-consolidated","Consolidated line item id"
"order_refunds_~_refund_line_items-consolidated","Revenue returned (price * quantity)"
"order_refunds_~_refund_line_items-consolidated","Consolidated order refund id"
"order_refunds_~_refund_line_items-consolidated","Refunds's created_at"
"order_refunds_~_refund_line_items-consolidated","line_item_~_vendor"
"order_refunds_~_refund_line_items-consolidated","line_item_~_sku"
"order_refunds_~_refund_line_items-consolidated","line_item_~_title"
"order_refunds_~_refund_line_items-consolidated","line_item_~_variant_title"
"order_refunds_~_refund_line_items-consolidated","line_item_~_product_id"
"order_refunds_~_refund_line_items-consolidated","line_item_~_variant_id"
"order_refunds_~_refund_line_items-consolidated","Consolidated order refund's note"
"order_refunds_~_refund_line_items-consolidated","Consolidated order ID"
"order_refunds_~_refund_line_items-consolidated","Consolidated order's total_line_items_price"
"order_refunds_~_refund_line_items-consolidated","Consolidated order's total_discounts"
"order_refunds_~_refund_line_items-consolidated","Line item revenue returned"
"order_refunds_~_refund_line_items-consolidated","Consolidated variant_id"
"order_refunds_~_refund_line_items-consolidated","Variant SKU"
"order_refunds_~_refund_line_items-consolidated","Default Supplier Cost"
"order_refunds_~_refund_line_items-consolidated","Stock cost returned"
"order_refunds_~_refund_line_items-consolidated","Variant's title"
"order_refunds_~_refund_line_items-consolidated","Product's title"
"products_~_keys","_id_of_parent"
"products_~_keys","_sub_id"
"products_~_keys","_value"
"file_upload-order_item_supplmement_variant_ids-mps","_id_of_parent"
"file_upload-order_item_supplmement_variant_ids-mps","_sub_id"
"file_upload-order_item_supplmement_variant_ids-mps","Variant ID [pk]"
"file_upload-order_item_supplmement_variant_ids-mps","_id_of_parent (int)"
"file_upload-order_item_supplmement_variant_ids-mps","_sub_id (int)"
"file_upload-order_item_supplement_variant_ids-hg","_id_of_parent"
"file_upload-order_item_supplement_variant_ids-hg","_sub_id"
"file_upload-order_item_supplement_variant_ids-hg","Variant ID [pk]"
"file_upload-order_item_supplement_variant_ids-hg","_id_of_parent (int)"
"file_upload-order_item_supplement_variant_ids-hg","_sub_id (int)"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","_id_of_parent"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","_sub_id"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","Variant ID [pk]"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","Product ID"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","_id_of_parent (int)"
"file_upload-order_item_supplement_product_ids_and_variant_ids-MPS","_sub_id (int)"
"file_upload-stock-log-report-stitch","ID"
"file_upload-stock-log-report-stitch","SKU"
"file_upload-stock-log-report-stitch","Variant Name"
"file_upload-stock-log-report-stitch","Date Time"
"file_upload-stock-log-report-stitch","Date"
"file_upload-stock-log-report-stitch","Time"
"file_upload-stock-log-report-stitch","Type"
"file_upload-stock-log-report-stitch","Quantity"
"file_upload-stock-log-report-stitch","Stock"
"file_upload-stock-log-report-stitch","Cost"
"file_upload-stock-log-report-stitch","Average Unit Cost"
"file_upload-stock-log-report-stitch","Assets"
"file_upload-stock-log-report-stitch","COGS"
"file_upload-stock-log-report-stitch","Adjustments"
"products_~_variants-consolidated","Source Table Index"
"products_~_variants-consolidated","_id_of_parent     [pk]"
"products_~_variants-consolidated","_sub_id     [pk]"
"products_~_variants-consolidated","inventory_quantity"
"products_~_variants-consolidated","price"
"products_~_variants-consolidated","product_id"
"products_~_variants-consolidated","id"
"products_~_variants-consolidated","compare_at_price"
"products_~_variants-consolidated","created_at"
"products_~_variants-consolidated","grams"
"products_~_variants-consolidated","inventory_management"
"products_~_variants-consolidated","inventory_policy"
"products_~_variants-consolidated","sku"
"products_~_variants-consolidated","title"
"products_~_variants-consolidated","position"
"products_~_variants-consolidated","updated_at"
"products_~_variants-consolidated","option1"
"products_~_variants-consolidated","option2"
"products_~_variants-consolidated","inventory_management"
"products_~_variants-consolidated","Source Table Name"
"products_~_variants-consolidated","Consolidated product ID"
"products_~_variants-consolidated","Seconds since product variant created_at"
"products_~_variants-consolidated","Total qty sold"
"products_~_variants-consolidated","Seconds between first and last date that sku sold"
"products_~_variants-consolidated","Frequency of sales (products / active days)"
"products_~_variants-consolidated","Frequency of sales (products / days since launch)"
"products_~_variants-consolidated","Original stock quantity"
"products_~_variants-consolidated","Sell through percentage"
"products_~_variants-consolidated","Weeks cover (using weeks since launch)"
"products_~_variants-consolidated","Weeks cover (using weeks active)"
"products_~_variants-consolidated","product_title"
"[File upload] Product type by $25 price intervals","Product type"
"[File upload] Product type by $25 price intervals","Price Range"
"[File upload] Product type by $25 price intervals","Number of distinct SKUs"
"[File upload] Product type by $25 price intervals","Total qty of items sold at this price interval"
"[File upload] Product type by $25 price intervals","Total seconds where product active at this price interval"
"[File upload] Product type by $25 price intervals","Qty sold per week at this price interval"
"[File upload] Product type by $25 price intervals","input: Total qty of product type sold (all prices)"
"[File upload] Product type by $25 price intervals","input: total seconds where product type active (all prices)"
"[File upload] Product type by $25 price intervals","% of product type sold at this price interval"
"[File upload] Product type by $25 price intervals","% of time where product type sold at this price interval"
"[File upload] Product type by $25 price intervals","Ratio of share of qty vs share of time"
"Acquisition Source ","Email Address"
"Acquisition Source ","Acquisition Source"
"Customer Acquisition ","Email "
"Customer Acquisition ","Campaign Source"
"Customer Acquisition ","Campaign Medium "
"Customer Acquisition ","Campaign Name "
"Customer Acquisition ","Subscribed Date"
