"table","column"
"orders-consolidated","order_number"
"orders-consolidated","HG shipping price"
"orders-consolidated","MPS shipping price"
"orders-consolidated","Consolidated shipping price"
"orders-consolidated","cancelled_at"
"orders-consolidated","Order_number (for Ecommerce)"
"orders-consolidated","Order's GA campaign"
"orders-consolidated","Order refund amount"
"orders-consolidated","Net revenue (total_price - refunds)"
"orders-consolidated","Master Email"
"orders-consolidated","Input: Master Email"
"orders-consolidated","Master customer ID"
"orders-consolidated","Coupon code"
"orders-consolidated","Coupon amount"
"orders-consolidated","Months between first order and this order"
"orders-consolidated","Age in Seconds of created_at"
"orders-consolidated","Months since order"
"orders-consolidated","Is in current month?"
"orders-consolidated","Is customer's last order?"
"orders-consolidated","Seconds since created_at"
"orders-consolidated","Months since previous order"
"orders-consolidated","Weeks since order"
"orders-consolidated","Weeks since previous order"
"orders-consolidated","total_line_items_price"
"orders-consolidated","Order's GA medium"
"orders-consolidated","Order's GA source"
"orders-consolidated","Order's GA socialNetwork"
"orders-consolidated","Order's GA keyword"
"orders-consolidated","tags"
"orders-consolidated","Customer's first ""Showroom_HG"" order date"
"orders-consolidated","Before / After / Showroom_HG"
"orders-consolidated","Customer's Showroom Only / Showroom and Account / Neither"
"order_~_line_items-consolidated","Source Table Name"
"order_~_line_items-consolidated","Source Table Index"
"order_~_line_items-consolidated","_id_of_parent"
"order_~_line_items-consolidated","_sub_id"
"order_~_line_items-consolidated","vendor"
"order_~_line_items-consolidated","product_id"
"order_~_line_items-consolidated","variant_title"
"order_~_line_items-consolidated","title"
"order_~_line_items-consolidated","quantity"
"order_~_line_items-consolidated","price"
"order_~_line_items-consolidated","Consolidated order ID"
"order_~_line_items-consolidated","Consolidated product ID"
"order_~_line_items-consolidated","Order's date"
"order_~_line_items-consolidated","Order item total value (quantity * price)"
"order_~_line_items-consolidated","Product's type"
"order_~_line_items-consolidated","Order's referring_site (URL Domain)"
"order_~_line_items-consolidated","Order's financial_status"
"order_~_line_items-consolidated","Order's fulfillment_status"
"order_~_line_items-consolidated","variant_id"
"order_~_line_items-consolidated","Consolidated variant ID"
"order_~_line_items-consolidated","Variant Drop or Stock"
"order_~_line_items-consolidated","Variant First Available"
"order_~_line_items-consolidated","Variant ID [pk]"
"order_~_line_items-consolidated","Variant Mapped Color"
"order_~_line_items-consolidated","Variant Mapped Size"
"order_~_line_items-consolidated","Variant Opening Price"
"order_~_line_items-consolidated","Variant SKU"
"order_~_line_items-consolidated","Order's cancelled_at"
"order_~_line_items-consolidated","Master Email"
"order_~_line_items-consolidated","Default Supplier Cost"
"order_~_line_items-consolidated","All - Cost by item (quantity * cost)"
"order_~_line_items-consolidated","Variant order number"
"order_~_line_items-consolidated","Supplemental variant_id (HG) (input)"
"order_~_line_items-consolidated","Supplemental variant_id (MPS1) (input)"
"order_~_line_items-consolidated","Supplemental product_id (MPS) (input)"
"order_~_line_items-consolidated","Supplemental variant_id (MPS2) (input)"
"order_~_line_items-consolidated","Consolidated product_id (with supplementals) (use)"
"order_~_line_items-consolidated","Consolidated variant_id (with supplementals) (use)"
"order_~_line_items-consolidated","Product's tags"
"order_~_line_items-consolidated","Price Range ($50 intervals)"
"order_~_line_items-consolidated","Price Range ($25 intervals)"
"order_~_line_items-consolidated","Total qty of this sku sold"
"order_~_line_items-consolidated","First date that sku sold at this price"
"order_~_line_items-consolidated","Last date that sku sold at this price"
"order_~_line_items-consolidated","Seconds that sku active at this price"
"order_~_line_items-consolidated","Total qty of this sku sold at this price"
"order_~_line_items-consolidated","input: _id_of_parent*100 + _sub_id"
"order_~_line_items-consolidated","Variant SKU - price"
"order_~_line_items-consolidated","input: instance number of Variant SKU - price"
"order_~_line_items-consolidated","First date that sku sold"
"order_~_line_items-consolidated","Last date that sku sold"
"order_~_line_items-consolidated","Seconds between first and last date that sku sold"
"order_~_line_items-consolidated","Ratio of share of qty vs share of time"
"order_~_line_items-consolidated","input: xth price"
"order_~_line_items-consolidated","input: xth price + 1"
"order_~_line_items-consolidated","input: first date that sku sold at next price"
"order_~_line_items-consolidated","Last date that sku active at this price"
"order_~_line_items-consolidated","Variant SKU (reference to Consolidated product variants)"
"order_~_line_items-consolidated","Customer's tags"
"order_~_line_items-consolidated","Order's tags"
"order_~_line_items-consolidated","Order's Before / After / Showroom_HG"
"order_~_line_items-consolidated","Customer's Showroom Only / Showroom and Account / Neither"
"order_~_line_items-consolidated","Customer's first ""Showroom_HG"" order date"
"order_~_line_items-consolidated","Customer's lifetime number of orders"
"customers-consolidated","Source Table Name"
"customers-consolidated","Source Table Index"
"customers-consolidated","_id"
"customers-consolidated","email"
"customers-consolidated","created_at"
"customers-consolidated","default_address_~_province"
"customers-consolidated","default_address_~_country"
"customers-consolidated","Consolidated customer ID"
"customers-consolidated","Master Email"
"customers-consolidated","Input: Master Email"
"customers-consolidated","Master customer ID"
"customers-consolidated","Master customer ID occurrence number"
"customers-consolidated","Customer's lifetime number of orders"
"customers-consolidated","Seconds since customer's creation date"
"customers-consolidated","Customer lifetime spend"
"customers-consolidated","Customer's acquisition campaign medium "
"customers-consolidated","Customer's acquisition campaign source "
"customers-consolidated","Customer's acquisition campaign name "
"customers-consolidated","Customer's acquisition subscribed date"
"customers-consolidated","tags"
"customers-consolidated","Showroom Only / Showroom and Account / Neither"
"adwords-mps","_id"
"adwords-mps","date"
"adwords-mps","impressions"
"adwords-mps","adClicks"
"adwords-mps","_updated_at"
"adwords-mps","campaign"
"adwords-mps","adCost"
"file_upload-variant_metafields-mps","Variant ID"
"file_upload-variant_metafields-mps","Variant SKU"
"file_upload-variant_metafields-mps","Variant First Available"
"file_upload-variant_metafields-mps","Variant Mapped Color"
"file_upload-variant_metafields-mps","Variant Opening Price"
"file_upload-variant_metafields-mps","Variant Mapped Size"
"file_upload-variant_metafields-mps","Variant Drop or Stock"
"file_upload-metafields_~_variants-hg","Variant ID"
"file_upload-metafields_~_variants-hg","Variant SKU"
"file_upload-metafields_~_variants-hg","Variant First Available"
"file_upload-metafields_~_variants-hg","Variant Mapped Color"
"file_upload-metafields_~_variants-hg","Variant Opening Price"
"file_upload-metafields_~_variants-hg","Variant Mapped Size"
"file_upload-metafields_~_variants-hg","Variant Drop or Stock"
"variant_metafields-consolidated","Source Table Name"
"variant_metafields-consolidated","Source Table Index"
"variant_metafields-consolidated","Variant ID     [pk]"
"variant_metafields-consolidated","Variant SKU"
"variant_metafields-consolidated","Variant First Available"
"variant_metafields-consolidated","Variant Mapped Color"
"variant_metafields-consolidated","Variant Opening Price"
"variant_metafields-consolidated","Variant Mapped Size"
"variant_metafields-consolidated","Variant Drop or Stock"
"variant_metafields-consolidated","Consolidated variant ID"
"variant_metafields-consolidated","Copy of Variant SKU (ref to HG)"
"variant_metafields-consolidated","Copy of Variant SKU (ref to MPS)"
"variant_metafields-consolidated","HG - product's title (input)"
"variant_metafields-consolidated","HG - product's type (input)"
"variant_metafields-consolidated","HG - product's published_at (input)"
"variant_metafields-consolidated","MPS - product's title (input)"
"variant_metafields-consolidated","MPS - product's type (input)"
"variant_metafields-consolidated","MPS - product's published_at (input)"
"variant_metafields-consolidated","Variant Product Name (use)"
"variant_metafields-consolidated","Variant Product Type (use)"
"variant_metafields-consolidated","Variant Product published_at (use)"
"variant_metafields-consolidated","HG - inventory_quantity (input)"
"variant_metafields-consolidated","MPS - inventory_quantity (input)"
"variant_metafields-consolidated","Inventory_quantity (use)"
"variant_metafields-consolidated","Supplier_cost"
"variant_metafields-consolidated","HG - compare_at_price (input)"
"variant_metafields-consolidated","MPS - compare_at_price (input)"
"variant_metafields-consolidated","Compare_at_price (use)"
"variant_metafields-consolidated","HG - product variant's price (input)"
"variant_metafields-consolidated","MPS - product variant's price (input)"
"variant_metafields-consolidated","Product variant's price (use)"
"variant_metafields-consolidated","Stock Cost"
"variant_metafields-consolidated","Stock Price"
"variant_metafields-consolidated","Stock Compare At Price"
"variant_metafields-consolidated","HG - product's tag"
"variant_metafields-consolidated","MPS - product's tag"
"variant_metafields-consolidated","Consolidated product's tag"
"variant_metafields-consolidated","First sold at price"
"variant_metafields-consolidated","Variant's last order date"
"variant_metafields-consolidated","Seconds since last order"
"variant_metafields-consolidated","Price Range ($50 intervals)"
"variant_metafields-consolidated","Price Range ($25 intervals)"
"variant_metafields-consolidated","MPS - variant's title (input)"
"variant_metafields-consolidated","HG - variant's title (input)"
"variant_metafields-consolidated","Variant's title (use)"
"order_refunds-mps","_id"
"order_refunds-mps","note"
"order_refunds-mps","order_id"
"order_refunds-mps","_updated_at"
"order_refunds-mps","id"
"order_refunds-mps","restock"
"order_refunds-mps","user_id"
"order_refunds-mps","created_at"
"order_refunds-hg","_id"
"order_refunds-hg","note"
"order_refunds-hg","order_id"
"order_refunds-hg","_updated_at"
"order_refunds-hg","id"
"order_refunds-hg","restock"
"order_refunds-hg","user_id"
"order_refunds-hg","created_at"
"order_refunds-consolidated","Source table name"
"order_refunds-consolidated","Source Table Index"
"order_refunds-consolidated","_id     [pk]"
"order_refunds-consolidated","note"
"order_refunds-consolidated","order_id"
"order_refunds-consolidated","_updated_at"
"order_refunds-consolidated","id"
"order_refunds-consolidated","restock"
"order_refunds-consolidated","user_id"
"order_refunds-consolidated","created_at"
"order_refunds-consolidated","Consolidated order ID"
"order_refunds-consolidated","Order refund amount"
"order_refunds-consolidated","Consolidated order refund id"
"order_refunds_~_transactions-mps","amount"
"order_refunds_~_transactions-mps","order_id"
"order_refunds_~_transactions-mps","status"
"order_refunds_~_transactions-mps","id"
"order_refunds_~_transactions-mps","created_at"
"order_refunds_~_transactions-mps","_id_of_parent"
"order_refunds_~_transactions-mps","_sub_id"
"order_refunds_~_transactions-mps","receipt_~_refunded"
"order_refunds_~_transactions-mps","receipt_~_gross_refund_amount"
"order_refunds_~_transactions-mps","receipt_~_refund_transaction_id"
"order_refunds_~_transactions-mps","receipt_~_total_refunded_amount"
"order_refunds_~_transactions-mps","receipt_~_GrossRefundAmount"
"order_refunds_~_transactions-mps","receipt_~_net_refund_amount"
"order_refunds_~_transactions-mps","receipt_~_RefundTransactionID"
"order_refunds_~_transactions-mps","receipt_~_NetRefundAmount"
"order_refunds_~_transactions-mps","receipt_~_TotalRefundedAmount"
"order_refunds_~_transactions-mps","receipt_~_fee_refund_amount"
"order_refunds_~_transactions-mps","receipt_~_FeeRefundAmount"
"order_refunds_~_transactions-mps","authorization"
"order_refunds_~_transactions-hg","receipt_~_refunded"
"order_refunds_~_transactions-hg","receipt_~_gross_refund_amount"
"order_refunds_~_transactions-hg","receipt_~_refund_transaction_id"
"order_refunds_~_transactions-hg","receipt_~_total_refunded_amount"
"order_refunds_~_transactions-hg","receipt_~_GrossRefundAmount"
"order_refunds_~_transactions-hg","receipt_~_net_refund_amount"
"order_refunds_~_transactions-hg","receipt_~_RefundTransactionID"
"order_refunds_~_transactions-hg","receipt_~_NetRefundAmount"
"order_refunds_~_transactions-hg","receipt_~_TotalRefundedAmount"
"order_refunds_~_transactions-hg","receipt_~_fee_refund_amount"
"order_refunds_~_transactions-hg","receipt_~_FeeRefundAmount"
"order_refunds_~_transactions-hg","id"
"order_refunds_~_transactions-hg","created_at"
"order_refunds_~_transactions-hg","_id_of_parent"
"order_refunds_~_transactions-hg","_sub_id"
"order_refunds_~_transactions-hg","order_id"
"order_refunds_~_transactions-hg","amount"
"order_refunds_~_transactions-hg","status"
"order_refunds_~_transactions-hg","authorization"
"orders_~_shipping_lines-mps","_id_of_parent"
"orders_~_shipping_lines-mps","_sub_id"
"orders_~_shipping_lines-mps","price"
"orders_~_shipping_lines-mps","code"
"orders_~_shipping_lines-mps","source"
"orders_~_shipping_lines-mps","title"
"orders_~_shipping_lines-mps","Consolidated order ID"
"orders_~_shipping_lines-hg","_id_of_parent"
"orders_~_shipping_lines-hg","_sub_id"
"orders_~_shipping_lines-hg","price"
"orders_~_shipping_lines-hg","code"
"orders_~_shipping_lines-hg","source"
"orders_~_shipping_lines-hg","title"
"orders_~_shipping_lines-hg","Consolidated order ID"
"order_refunds_~_transactions-consolidated","Table ID Column"
"order_refunds_~_transactions-consolidated","Source Table Index"
"order_refunds_~_transactions-consolidated","_id_of_parent"
"order_refunds_~_transactions-consolidated","amount"
"order_refunds_~_transactions-consolidated","order_id"
"order_refunds_~_transactions-consolidated","id"
"order_refunds_~_transactions-consolidated","created_at"
"order_refunds_~_transactions-consolidated","_sub_id"
"order_refunds_~_transactions-consolidated","receipt_~_refunded"
"order_refunds_~_transactions-consolidated","receipt_~_gross_refund_amount"
"order_refunds_~_transactions-consolidated","receipt_~_refund_transaction_id"
"order_refunds_~_transactions-consolidated","receipt_~_total_refunded_amount"
"order_refunds_~_transactions-consolidated","receipt_~_GrossRefundAmount"
"order_refunds_~_transactions-consolidated","receipt_~_net_refund_amount"
"order_refunds_~_transactions-consolidated","receipt_~_RefundTransactionID"
"order_refunds_~_transactions-consolidated","receipt_~_NetRefundAmount"
"order_refunds_~_transactions-consolidated","receipt_~_TotalRefundedAmount"
"order_refunds_~_transactions-consolidated","receipt_~_fee_refund_amount"
"order_refunds_~_transactions-consolidated","receipt_~_FeeRefundAmount"
"order_refunds_~_transactions-consolidated","status"
"order_refunds_~_transactions-consolidated","Consolidated order ID"
"adwords-hg","_id"
"adwords-hg","date"
"adwords-hg","impressions"
"adwords-hg","adClicks"
"adwords-hg","_updated_at"
"adwords-hg","campaign"
"adwords-hg","adCost"
"ecommerce-hg","_id"
"ecommerce-hg","profileName"
"ecommerce-hg","medium"
"ecommerce-hg","transactionId"
"ecommerce-hg","source"
"ecommerce-hg","keyword"
"ecommerce-hg","_updated_at"
"ecommerce-hg","campaign"
"ecommerce-hg","profileId"
"ecommerce-hg","transactions"
"ecommerce-hg","accountId"
"ecommerce-hg","socialNetwork"
"ecommerce-mps","_id"
"ecommerce-mps","profileName"
"ecommerce-mps","medium"
"ecommerce-mps","transactionId"
"ecommerce-mps","source"
"ecommerce-mps","keyword"
"ecommerce-mps","_updated_at"
"ecommerce-mps","campaign"
"ecommerce-mps","profileId"
"ecommerce-mps","transactions"
"ecommerce-mps","accountId"
"ecommerce-mps","socialNetwork"
"adwords-consolidated","Table ID Column"
"adwords-consolidated","Source Table Index"
"adwords-consolidated","_id     [pk]"
"adwords-consolidated","date"
"adwords-consolidated","impressions"
"adwords-consolidated","adClicks"
"adwords-consolidated","_updated_at"
"adwords-consolidated","campaign"
"adwords-consolidated","adCost"
"ecommerce-consolidated","Table ID Column"
"ecommerce-consolidated","Source Table Index"
"ecommerce-consolidated","_id     [pk]"
"ecommerce-consolidated","profileName"
"ecommerce-consolidated","medium"
"ecommerce-consolidated","transactionId"
"ecommerce-consolidated","source"
"ecommerce-consolidated","keyword"
"ecommerce-consolidated","_updated_at"
"ecommerce-consolidated","campaign"
"ecommerce-consolidated","profileId"
"ecommerce-consolidated","transactions"
"ecommerce-consolidated","accountId"
"ecommerce-consolidated","socialNetwork"
"subscribers-mps-mailchimp","Email Address"
"subscribers-mps-mailchimp","First Name"
"subscribers-mps-mailchimp","Last Name"
"subscribers-mps-mailchimp","Birthday"
"subscribers-mps-mailchimp","Last order"
"subscribers-mps-mailchimp","Zip Code"
"subscribers-mps-mailchimp","WC_FirstName"
"subscribers-mps-mailchimp","WC_Purchased_Title"
"subscribers-mps-mailchimp","WC_Purchased_Link"
"subscribers-mps-mailchimp","WC_Purchased_Image"
"subscribers-mps-mailchimp","WC_Purchased_Category"
"subscribers-mps-mailchimp","WC_Purchased_Last_Order"
"subscribers-mps-mailchimp","WC_First_Order_Date"
"subscribers-mps-mailchimp","WC_Predicted_OrderDate"
"subscribers-mps-mailchimp","WC_Purchase_History_SKU"
"subscribers-mps-mailchimp","WC_Ship_State"
"subscribers-mps-mailchimp","WC_Ship_Zip"
"subscribers-mps-mailchimp","WC_Recency_Actual"
"subscribers-mps-mailchimp","WC_Frequency_Actual"
"subscribers-mps-mailchimp","WC_Monetary_Actual"
"subscribers-mps-mailchimp","WC_Spend_Actual"
"subscribers-mps-mailchimp","WC_HotCombo_Title"
"subscribers-mps-mailchimp","WC_HotCombo_Link"
"subscribers-mps-mailchimp","WC_HotCombo_Image"
"subscribers-mps-mailchimp","WC_RelatedItems_Title1"
"subscribers-mps-mailchimp","WC_RelatedItems_Link1"
"subscribers-mps-mailchimp","WC_RelatedItems_Image1"
"subscribers-mps-mailchimp","Welcome Coupon"
"subscribers-mps-mailchimp","Birthday Coupon"
"subscribers-mps-mailchimp","WC_Recency_Rank"
"subscribers-mps-mailchimp","WC_Frequency_Rank"
"subscribers-mps-mailchimp","WC_Monetary_Rank"
"subscribers-mps-mailchimp","WC_Spend_Rank"
"subscribers-mps-mailchimp","WC_Segments"
"subscribers-mps-mailchimp","MEMBER_RATING"
"subscribers-mps-mailchimp","OPTIN_TIME"
"subscribers-mps-mailchimp","OPTIN_IP"
"subscribers-mps-mailchimp","CONFIRM_TIME"
"subscribers-mps-mailchimp","CONFIRM_IP"
"subscribers-mps-mailchimp","LATITUDE"
"subscribers-mps-mailchimp","LONGITUDE"
"subscribers-mps-mailchimp","GMTOFF"
"subscribers-mps-mailchimp","DSTOFF"
"subscribers-mps-mailchimp","TIMEZONE"
"subscribers-mps-mailchimp","CC"
"subscribers-mps-mailchimp","REGION"
"subscribers-mps-mailchimp","LAST_CHANGED"
"subscribers-mps-mailchimp","LEID"
"subscribers-mps-mailchimp","EUID"
"subscribers-mps-mailchimp","NOTES"
"file_upload-order_refunds_~_transactions-mps","_id_of_parent"
"file_upload-order_refunds_~_transactions-mps","amount"
"file_upload-order_refunds_~_transactions-mps","order_id"
"file_upload-order_refunds_~_transactions-mps","id"
"file_upload-order_refunds_~_transactions-mps","created_at"
"file_upload-order_refunds_~_transactions-mps","status"
"file_upload-order_refunds_~_transactions-mps","Consolidated order_id"
"Customers with duplicate emails","Emails Used"
"Customers with duplicate emails","Master Email"
"orders_~_discount_codes-mps","_id_of_parent"
"orders_~_discount_codes-mps","_sub_id"
"orders_~_discount_codes-mps","amount"
"orders_~_discount_codes-mps","code"
"orders_~_discount_codes-mps","type"
"orders_~_discount_codes-hg","_id_of_parent"
"orders_~_discount_codes-hg","_sub_id"
"orders_~_discount_codes-hg","amount"
"orders_~_discount_codes-hg","code"
"orders_~_discount_codes-hg","type"
"products_~_variants-mps","_id_of_parent"
"products_~_variants-mps","_sub_id"
"products_~_variants-mps","compare_at_price"
"products_~_variants-mps","created_at"
"products_~_variants-mps","grams"
"products_~_variants-mps","id"
"products_~_variants-mps","inventory_management"
"products_~_variants-mps","inventory_policy"
